Date,Ref,S3,S4,S1,S2
20.06.2021 15:00,20.4,8.04,8.02,12.36,12.38
20.06.2021 16:00,21.5,7.79,9.59,13.71,11.91
20.06.2021 17:00,22.7,5.89,9.82,16.81,12.88
20.06.2021 18:00,10.1,4.53,5.81,5.57,4.29
20.06.2021 19:00,6,4.95,4.08,1.05,1.92
20.06.2021 20:00,6.9,3.84,4.46,3.06,2.44
20.06.2021 21:00,5.5,4,3.52,1.5,1.98
20.06.2021 22:00,5.4,3.75,4.13,1.65,1.27
20.06.2021 23:00,5.7,3.92,3.93,1.78,1.77
21.06.2021 00:00,5.9,4.12,3.74,1.78,2.16
21.06.2021 01:00,6.4,4.27,3.59,2.13,2.81
21.06.2021 02:00,6.4,3.93,3.63,2.47,2.77
21.06.2021 03:00,6.4,3.63,4.28,2.77,2.12
21.06.2021 04:00,6,3.99,4.41,2.01,1.59
21.06.2021 05:00,6.5,5.05,3.86,1.45,2.64
21.06.2021 06:00,6.5,3.64,3.6,2.86,2.9
21.06.2021 07:00,5.9,3.13,4.25,2.77,1.65
21.06.2021 08:00,4.5,3.68,3.56,0.82,0.94
21.06.2021 09:00,4.4,3.29,3.64,1.11,0.76
21.06.2021 10:00,4.8,3.63,3.88,1.17,0.92
21.06.2021 11:00,5.3,3.56,3.33,1.74,1.97
21.06.2021 12:00,5.3,3.17,3.15,2.13,2.15
21.06.2021 13:00,5.7,4.39,3.56,1.31,2.14
21.06.2021 14:00,5.9,3.72,3.54,2.18,2.36
21.06.2021 15:00,5.2,2.98,3.09,2.22,2.11
21.06.2021 16:00,5.1,3.23,3.66,1.87,1.44
21.06.2021 17:00,4.4,4.09,4.39,0.31,0.01
21.06.2021 18:00,6,3.36,3.74,2.64,2.26
21.06.2021 19:00,4.9,3.99,3.48,0.91,1.42
21.06.2021 20:00,5.6,3.99,4.45,1.61,1.15
21.06.2021 21:00,5.4,4.02,4.51,1.38,0.89
21.06.2021 22:00,5.3,4.53,4.66,0.77,0.64
21.06.2021 23:00,5.6,4.54,5.42,1.06,0.18
22.06.2021 00:00,5.3,4.11,5.35,1.19,0.05
22.06.2021 01:00,5.2,3.64,4.36,1.56,0.84
22.06.2021 02:00,5.3,4.87,4.63,0.43,0.67
22.06.2021 03:00,5.4,4.61,4.77,0.79,0.63
22.06.2021 04:00,5.8,4.59,5.72,1.21,0.08
22.06.2021 05:00,5.6,6.47,5.3,0.87,0.3
22.06.2021 06:00,6.6,5.59,6.92,1.01,0.32
22.06.2021 07:00,6.1,6.18,4.64,0.08,1.46
22.06.2021 08:00,6.8,6.07,6.58,0.73,0.22
22.06.2021 09:00,7.4,3.8,7.63,3.6,0.23
22.06.2021 10:00,5.2,2.99,4.16,2.21,1.04
22.06.2021 11:00,3.3,2.74,3.52,0.56,0.22
22.06.2021 12:00,2.9,2.7,3.01,0.2,0.11
22.06.2021 13:00,2.2,2.71,3,0.51,0.8
22.06.2021 14:00,1.7,2.74,2.63,1.04,0.93
22.06.2021 15:00,2.1,2.79,2.77,0.69,0.67
22.06.2021 16:00,2.8,2.95,3.07,0.15,0.27
22.06.2021 17:00,3.1,2.8,3.16,0.3,0.06
